iter	RMSE
0	14.33050921
1	13.58716492
2	12.86810713
3	12.27805478
4	11.7722169
5	11.33148163
6	10.80749368
7	10.44222207
8	10.02923622
9	9.654850707
10	9.251896143
11	8.916713443
12	8.61442794
13	8.327151491
14	8.082257794
15	7.845244852
16	7.643852174
17	7.394193095
18	7.167247307
19	6.993644592
20	6.811074846
21	6.645405702
22	6.50377353
23	6.365595745
24	6.314032437
25	6.188871053
26	6.114090129
27	5.991947032
28	5.908476935
29	5.808278272
30	5.726155277
31	5.665926726
32	5.592629307
33	5.49486416
34	5.410514899
35	5.352780841
36	5.271532036
37	5.21570711
38	5.161204493
39	5.123492473
40	5.087276418
41	5.028976956
42	4.983104581
43	4.948573099
44	4.915116942
45	4.884168156
46	4.841666561
47	4.801699389
48	4.762859212
49	4.741531864
50	4.704198759
51	4.674633345
52	4.639595208
53	4.603101712
54	4.573706312
55	4.557337112
56	4.5194758
57	4.495468302
58	4.486167208
59	4.460168942
60	4.439464371
61	4.425374986
62	4.390478305
63	4.367271622
64	4.339056756
65	4.308984708
66	4.27816341
67	4.257661451
68	4.239062725
69	4.21180486
70	4.186529334
71	4.174394794
72	4.156349718
73	4.131298546
74	4.118662108
75	4.104634975
76	4.090828463
77	4.06688585
78	4.045633104
79	4.029368928
80	4.000593853
81	3.967731706
82	3.941956571
83	3.932193351
84	3.899323389
85	3.874767366
86	3.85540412
87	3.829062409
88	3.813892512
89	3.807776408
90	3.805574593
91	3.803236684
92	3.774792337
93	3.763914445
94	3.760944041
95	3.758236949
96	3.737737416
97	3.72649597
98	3.720324845
99	3.693210139
