iter	Passed	Remaining
0	139	139263
1	140	70081
2	141	46977
3	142	35389
4	142	28423
5	143	23768
6	144	20464
7	144	17966
8	145	16056
9	146	14540
10	147	13267
11	148	12196
12	148	11292
13	149	10515
14	149	9842
15	150	9258
16	151	8753
17	152	8294
18	152	7880
19	152	7496
20	153	7159
21	154	6852
22	154	6571
23	155	6306
24	155	6070
25	156	5852
26	156	5651
27	157	5463
28	157	5289
29	158	5125
30	159	4973
31	159	4834
32	160	4700
33	161	4574
34	161	4454
35	162	4342
36	162	4235
37	163	4131
38	163	4035
39	164	3944
40	164	3858
41	165	3775
42	166	3699
43	166	3624
44	167	3552
45	167	3483
46	168	3417
47	169	3354
48	169	3289
49	170	3231
50	170	3169
51	170	3115
52	171	3064
53	172	3014
54	172	2966
55	173	2923
56	174	2879
57	174	2837
58	175	2795
59	175	2754
60	176	2715
61	176	2673
62	177	2636
63	177	2601
64	178	2566
65	179	2533
66	179	2500
67	180	2469
68	180	2439
69	181	2409
70	182	2381
71	182	2353
72	183	2325
73	183	2298
74	184	2272
75	184	2247
76	185	2222
77	185	2198
78	186	2174
79	187	2153
80	187	2131
81	188	2109
82	188	2087
83	189	2066
84	190	2046
85	190	2026
86	191	2006
87	191	1989
88	192	1972
89	193	1954
90	193	1936
91	194	1918
92	194	1901
93	195	1882
94	195	1865
95	196	1849
96	196	1833
97	197	1817
98	198	1802
99	198	1787
100	199	1773
101	199	1758
102	200	1744
103	200	1730
104	201	1717
105	202	1703
106	202	1690
107	203	1677
108	203	1665
109	204	1652
110	204	1640
111	205	1627
112	205	1616
113	206	1604
114	207	1593
115	207	1582
116	208	1571
117	208	1560
118	209	1547
119	209	1537
120	210	1527
121	210	1518
122	211	1506
123	211	1497
124	212	1487
125	213	1477
126	213	1468
127	214	1459
128	214	1450
129	215	1441
130	215	1432
131	216	1423
132	217	1414
133	217	1406
134	218	1397
135	218	1389
136	219	1381
137	219	1373
138	220	1365
139	221	1357
140	221	1349
141	222	1342
142	222	1334
143	223	1326
144	223	1319
145	224	1311
146	224	1304
147	225	1297
148	225	1289
149	226	1282
150	226	1275
151	227	1269
152	228	1262
153	228	1255
154	229	1249
155	229	1242
156	230	1236
157	230	1230
158	231	1223
159	231	1217
160	232	1211
161	233	1205
162	233	1199
163	234	1193
164	234	1188
165	235	1184
166	236	1180
167	237	1175
168	238	1171
169	238	1166
170	239	1161
171	240	1156
172	240	1151
173	241	1146
174	242	1141
175	242	1136
176	243	1132
177	244	1127
178	244	1122
179	245	1117
180	246	1113
